Gene,MCF10A_R1,MCF10A_R2,MCF10A_R3,MCF7_R1,MCF7_R2,MCF7_R3,MDA.MB.231_R1,MDA.MB.231_R2,MDA.MB.231_R3
PES 1.00,33.7848739704582,31.9454204116466,50.7949365258731,38.8581228852644,46.8150610337605,45.6592142649965,34.7364328703482,36.0506309004094,35.5753027110853
PGK 1.00,327.402101042664,173.972588194425,270.963762485034,237.249485359886,247.005179168603,239.572835406245,458.535342313465,529.544312214034,445.028786760386
DKK 1.00,153.841836829765,21.9110710547442,202.990212758247,137.756853401836,123.380992023175,144.38930129661,135.735406948204,113.286540280747,139.301185317054
VNN 1.00,2.47671068580427,1.18438221917536,3.9802002501617,0,0,0,0.108213186511988,0.108097843779338,0.0750006381821897
SOS 1,29.1489796098502,40.2360959458741,17.833364757218,29.3839808426417,19.9217337645829,25.2081336430469,10.3163237808096,10.0260750105336,10.0750857291408
ARL 1.00,44.9300720565774,35.3340695387316,36.614396240665,49.6614729159565,40.5122541153624,41.0720559946527,48.2991522465174,49.2115433805438,51.6504394948013
AMD 1.00,74.4283313785282,37.637034964906,80.4138292965569,104.187281447827,92.1506850738133,90.1716389624071,113.695987961929,99.3148939722672,117.125996627853
MDC 1.00,7.71590636731329,8.15907750987472,8.21885506202221,10.8316310517149,9.20088212524989,12.5297378680688,7.79134942886316,7.53982460360885,8.0250682854943
CLP 1,6.73157263321159,5.26392097411272,5.72046096560036,5.91073339375565,6.14067683689585,5.52157939948795,14.9334197386544,15.6201384261144,15.2251295509845
LSM 1.00,17.8767707193308,13.0940034231054,17.9367465818975,15.9504958568334,15.6050203445868,14.5260011894221,14.3562827439238,14.1878419960382,14.6751248709818
MLF 1.00,2.95300120230509,9.93565083863776,4.8072548475979,11.5952186193293,9.72780489013204,8.11247434847845,10.4966790916629,11.1340779092719,9.92508445277644
ERN 1.00,8.4779711937146,10.7581384908429,4.10081237895448,11.284127388079,10.7005853791452,12.0200536158084,5.66315676079405,7.13445768943633,4.65003956729576
MAF 1.00,44.707803148877,66.2267057555557,54.2754579567504,50.5947466097074,83.4159269328823,69.4232425266389,61.284734627956,63.7507033688648,58.2254954421066
TOP 1.00,43.8187275180755,52.3102146802452,53.569015488107,53.9601881114152,38.0195041122661,45.255714231957,29.3618446069195,29.6188091955387,29.2002484655992
BOP 1.00,15.3048019302264,12.0083197221946,36.9590023229301,24.1519919534322,44.8087012751707,39.7128979886249,36.792483414076,27.8351947731796,34.9002969674456
MLF 2.00,31.5939375945544,41.8481717441961,35.6150386020962,17.1948607818346,24.5221748272079,25.1656599553585,31.2736109019646,36.1857532051335,31.6002688874293
SOS 2,59.1552821494019,47.5726858035437,34.4089173141685,34.9270609631016,27.1365223914308,27.7777917481932,44.5116907185978,51.3194513342409,45.9503909929549
MCF 2.00,13.7171668752236,1.87527184702766,8.73576418541983,0.0848430630682629,0.101331300938875,0.0424736876883689,0,0.0270244609448346,0
NPR 2.00,1.23835534290213,1.77657332876304,1.58518797841938,1.04639777784191,0.932247968637654,1.01936850452085,0.613208056901267,0.621562601731196,0.525004467275328
LSM 2.00,11.1451980861192,7.83008244899267,13.835934202943,18.3543826437675,22.7792764510592,19.6016068681822,26.8368702549731,25.1867976005859,23.6002008146624
ARL 2.00,3.30228091440569,4.93492591323067,5.56538822858108,4.77949255284548,10.274993915202,7.81515853465987,21.1015713698377,23.6734277876751,18.600158269183
DKK 3.00,0.222268907700383,0.0986985182646135,0.0689212164530164,0,0,0.0212368438441844,1.91176629504513,1.56741873480041,1.22501042364243
NPR 3.00,2.00042016930345,0.36189456697025,5.22078214631599,1.38577003011496,1.07411178995208,1.16802641143014,3.21032453318899,2.8105439382628,3.57503042001771
ARL 3.00,6.35054022001094,7.86298195508088,6.92658225352815,15.7525287096741,14.5714410750103,13.6128169041222,18.1076732096727,18.8090248176049,16.9001438037201
LSM 3.00,18.8928571545325,12.3702142891649,30.1185715899682,48.4736700330009,43.8764533065331,41.3906086523154,40.9045845015316,38.8341503777273,39.27533419474
LSM 4.00,37.8809724123652,26.549901413181,54.5339125184493,48.1908598227733,68.1351667512999,65.8129790731275,79.7170473971647,71.3716013553082,73.0756218021802
LSM 5.00,27.4978391526474,9.04736417425624,29.7567352035898,40.6398272096979,34.8579675229732,34.5523449344881,27.8829310579223,26.9163631010553,36.1003071783607
MTL 5.00,0.730312125301258,1.28308073743998,1.96425466891097,5.11886480511853,5.63402033220148,5.35168464873448,1.73141098419181,2.13493241464193,2.10001786910131
ARL 6.00,3.04825930560525,2.56616147487995,3.01530321981947,1.41405105113771,1.17544309089096,1.61400013215802,3.02996922233567,3.45913100093883,2.9250248891054
LSM 6.00,4.28661464850738,2.895156535762,8.51177023194753,6.78744504546103,4.82336992469047,5.84013205715072,15.5466277955557,14.4040376835968,14.875126572801
LSM 7.00,6.54105642661127,8.38937405249215,12.5092007862225,6.08041951989217,10.7005853791452,9.28050075990859,13.4905772518279,14.9175024415487,13.5501152982489
LSM 8.00,23.1159664008398,17.2722406963074,23.4676742022521,19.0331271483136,16.6588658743511,15.9276328831383,23.8429720948081,25.4300177490894,25.4752167692171
ARL 10.00,1.65114045720284,5.29682048020092,1.60241828253263,0.0565620420455086,0.0405325203755502,0.0637105315325533,0.144284248682651,0.135122304724173,0.325002765456155
LSM 10.00,1.74639856050301,1.87527184702766,3.29098808563153,2.34732474488861,2.26982114103081,2.54842126130213,2.05605054372778,2.1889813365316,2.1750185072835
LSM 11.00,7.93817527501367,6.51410220546449,8.68407327308007,16.2050250460382,14.4498435138836,12.5085010242246,8.22420217491111,8.32353397100906,9.17507807095454
LSM 12.00,1.58763505500273,1.05278419482254,2.41224257585558,2.00795249261555,1.92529471783863,1.89007910213241,2.1281926680691,2.08088349275226,2.12501808182871
ARL 15.00,3.23877551220558,2.99385505402661,2.06763649359049,6.70260198239277,6.28254065821028,5.50034255564377,2.05605054372778,2.78351947731796,2.37502020910267
ARL 16.00,5.52496999140952,10.0014498508142,8.21885506202221,4.949178678982,4.66123984318827,5.54281624333214,11.9034505163187,12.6744721831274,12.4001055127887
A1BG-AS1,1.93691476710334,2.33586493226252,2.01594558125073,2.91294516534369,3.62766057361174,3.75892136042064,1.5510556733385,1.10800289873822,1.70001446546297
A2ML1,117.421488668002,29.9385505402661,90.4590965945841,0.0282810210227543,0.0607987805633253,0.0849473753767377,0,0,0
A4GALT,13.6536614730235,11.1529325639013,10.2692612514994,5.06230276307302,8.08623781492226,6.64713212322973,4.61709595784483,4.32391375117354,3.82503254729168
AAAS,15.114285723626,14.2125866301043,18.9705648286928,18.6089118329723,25.9610793005399,24.4011335769679,18.8651655152566,19.7278564897293,18.5751580564557
AACS,42.358103267473,32.9324055942927,32.9615717686551,32.2403639659399,39.4584085855981,39.8827927393784,30.0471947881621,31.4294480788426,29.9502548474211
AADAT,0.412785114300711,0.263196048705636,0.861515205662705,2.14935759772933,2.06715853915306,2.16615807210681,2.01997948155711,2.16195687558677,2.00001701819173
