Gene,sample_group.cell_lineMCF7,sample_group.cell_lineMDA.MB.231,AveExpr,F,P.Value,adj.P.Val
GPR133,0.720510777659233,5.29175822005302,2.02602266996289,462.279993828964,5.67338769546605E-09,4.88322587767662E-07
COL6A1,1.46378590790707,45.6594494490995,15.7077451190022,461.466140714941,5.71304879016654E-09,4.88322587767662E-07
ANKRD1,0.662295111216331,307.509606089023,102.756622403555,460.82768804866,5.74440515959625E-09,4.88322587767662E-07
ACO1,-9.9337358051604,116.503466646996,64.1345771510935,460.619961775288,5.75465362398461E-09,4.88322587767662E-07
TMCC3,-1.23557959717204,12.4483978414652,5.44896367503207,460.118341937097,5.77949618856783E-09,4.88322587767662E-07
ARL4C,-4.40455019113209,65.995408464839,27.6731140219891,459.613839102619,5.8046169776776E-09,4.88322587767662E-07
AGTPBP1,12.2475728624583,54.3711967258142,26.1074368303963,457.291813466804,5.92201463536357E-09,4.92219734549085E-07
FMNL1,-0.19488232563489,29.4301356293276,11.1636846176363,457.233433273623,5.92500432800584E-09,4.92219734549085E-07
IRAK3,-0.0224533714382355,9.46943608681305,3.17144760989651,455.54732251157,6.01217180113577E-09,4.9635892907265E-07
CHD5,3.62907584226585,0.0317288012045211,1.24794465325334,452.998584256408,6.14700247107289E-09,5.02532018328553E-07
ANK2,-1.92730736593043,31.8189329488435,11.9748010533001,452.268111298006,6.18634083386559E-09,5.02532018328553E-07
PODXL,8.27408122652477,65.4576654335665,37.3899622533032,451.936025219605,6.20432885784612E-09,5.02532018328553E-07
CDCA7L,-1.14928382575406,69.7175708541265,44.7248570785927,451.314480742998,6.23817206020248E-09,5.02532018328553E-07
RAE1,79.3487179668059,26.7456944475967,50.525421176931,449.243016468952,6.35264374278827E-09,5.08670726681576E-07
FRMD6,-19.2346082319668,187.210268455026,103.553375622045,447.075576119686,6.47524613911614E-09,5.15383063958872E-07
CNN3,-41.3969887189777,214.890243868299,99.5296887365017,445.636885720704,6.55826323179254E-09,5.18883540934443E-07
LINC00704,-0.0822892332153374,21.9721083828301,7.42509483857125,442.482839782983,6.74497128158794E-09,5.30497977957792E-07
PARD6B,299.599901192252,19.919872900414,122.01884082725,438.973597639451,6.96058801859639E-09,5.42255431988289E-07
CNIH3,0.437511295015402,9.38449060795482,3.49478570682046,438.727157962687,6.97605167544368E-09,5.42255431988289E-07
ATP9A,137.72479280403,-32.9072539264875,76.8107143518392,437.513224149464,7.05285413003933E-09,5.450380063749E-07
IL31RA,-0.345046716435434,6.5212060263072,2.41760085440334,434.306162820687,7.26090500334855E-09,5.57084410093853E-07
TMEM178B,15.5961481185057,-0.797619344576048,5.75149411025775,433.558026998858,7.31053857216197E-09,5.57084410093853E-07
NXN,3.70210725607947,45.5774775029245,17.6274082684519,432.651305950939,7.37126337890779E-09,5.57084410093853E-07
RET,30.9068401547683,0.00900815364827957,10.3052827694722,432.244839576118,7.3986899531182E-09,5.57084410093853E-07
TRIM29,-185.315115485576,-185.282685815851,62.1841363329077,431.95548336257,7.41829224997081E-09,5.57084410093853E-07
CADM1,22.1616926836382,0.955744475094494,7.72698085364426,426.58115603906,7.79447011929885E-09,5.7428407703999E-07
LNX1,6.0218937720238,0.53161441227822,2.39829149067588,426.247724221332,7.81858631779032E-09,5.7428407703999E-07
RAD51C,86.7790220241247,6.10598572523163,37.3418384789811,425.8816604848,7.84517026716485E-09,5.7428407703999E-07
FBP1,47.1029091300773,8.41974368500682,18.7970644803835,425.238592599372,7.89214489579088E-09,5.7428407703999E-07
TTC39A,44.1244062495259,-1.58459502826978,16.4237836645038,425.03893094533,7.90680125150226E-09,5.7428407703999E-07
ANXA6,30.1878802243018,169.609214252139,66.9775619544423,424.587062670853,7.94009699097712E-09,5.7428407703999E-07
RBM24,2.15740533230365,15.0280806295773,5.86742991064328,424.099146570656,7.97624605503733E-09,5.7428407703999E-07
CELF2,0.0370957430288941,10.574608626307,3.53723478977864,423.557852925579,8.01659098609262E-09,5.7428407703999E-07
FOXA2,0.0276687360213065,19.8297937148798,6.61915415030036,423.296327848503,8.03617501726137E-09,5.7428407703999E-07
TUBD1,81.4428671930125,1.04238842487645,31.3088843042119,419.361039797631,8.33822036187676E-09,5.9194837926311E-07
GCNT2,-3.97246394812464,47.8185797270844,18.8363085238116,418.92662933554,8.37242667028774E-09,5.9194837926311E-07
ZNF528,0.849728343319823,8.70075360012052,3.1940782148468,414.887412832335,8.69903965102329E-09,6.11786428790484E-07
GALM,0.383344781357468,10.0344765909296,3.47260712409569,413.883679363475,8.78266226411005E-09,6.13193864006404E-07
ENO2,4.31685798740311,22.1862566156953,9.12293101832804,413.542476903949,8.81131718516575E-09,6.13193864006404E-07
GALNT10,16.2038672925138,126.22517329188,61.6477567563895,410.403080221731,9.08053722868842E-09,6.28638025227742E-07
TDRD1,21.2114096942768,-0.00263309778693562,7.08055870085937,409.134347541416,9.1922528251341E-09,6.32665792645849E-07
HCAR1,22.2554359472699,3.3366158467929,8.55223466708369,408.666155240618,9.23391241147266E-09,6.32665792645849E-07
MTMR4,95.7230070002561,13.4792287853416,60.6408268606492,407.689396498408,9.32158704174774E-09,6.35397615173902E-07
MCF2L,15.415539535659,0.701674137477762,5.5032380454063,406.52888827668,9.42711306521441E-09,6.39312177871581E-07
RIMKLA,5.19883307455159,0.718623861192744,2.06021766148332,404.69755875615,9.59669550670549E-09,6.44530228072859E-07
SLC16A6,14.9875862039107,-0.264869986191405,6.6270146004922,404.651206048085,9.60103710189784E-09,6.44530228072859E-07
SGCG,16.9950313370091,-0.0105842337000157,5.6720666014697,403.469935266204,9.7125138156568E-09,6.48737354963368E-07
TNFRSF1B,-0.239439192844526,4.24712748357074,1.58241423770133,402.025716462037,9.85101385151636E-09,6.51882095605606E-07
NFE2L3P1,0.168630458569807,3.54136447587214,1.31512969354148,401.572542581445,9.89498156803298E-09,6.51882095605606E-07
MICAL2,-8.72198275269289,124.872270077061,55.6181804419106,401.077341887306,9.94330782278984E-09,6.51882095605606E-07
MAGEA3,-3.14018491736755E-16,5.41119500405855,1.80373166801952,400.628701853152,9.98734539141952E-09,6.51882095605606E-07
IKBIP,6.78918360438738,59.7608829347339,27.1363166059433,400.451453042514,1.00048109767938E-08,6.51882095605606E-07
PARVA,-11.0605385696668,40.1130726784845,30.7523248800425,398.779544668792,1.0171450473137E-08,6.57670835545982E-07
PPAPDC1A,0.00133551324364288,18.814023250855,6.27752968940395,398.569686957125,1.01926115048505E-08,6.57670835545982E-07
SYNJ2,-9.34234059824983,151.419279730244,78.8789490610956,397.205708365604,1.03314989191203E-08,6.61286522281339E-07
ZNF702P,0.0986784642126015,11.2561982297885,3.79554313170038,397.043732233347,1.03481490095184E-08,6.61286522281339E-07
GPR116,-0.0485632876789917,176.143903979648,58.8848774318229,396.195749921487,1.04358659428563E-08,6.62286593993976E-07
OLFML2A,0.59655375051383,17.1088972074366,6.69674310541501,395.930923226073,1.04634505521167E-08,6.62286593993976E-07
MARCKS,62.2119526691914,154.243115619229,95.1287960187759,392.398076138629,1.0840308901658E-08,6.82888084932881E-07
AFAP1-AS1,0.00119027190938296,14.8378351231364,4.96841290145744,390.79471523095,1.10169402320577E-08,6.89865580666538E-07
ABCC4,11.8084041381527,44.7809274157062,19.1506612959768,390.454576426643,1.10548727566937E-08,6.89865580666538E-07
EMP3,-4.35513653666019,53.4290555781551,21.4238841269322,389.331197498812,1.11813191226056E-08,6.94495765316233E-07
DDX58,0.90144115157632,59.4644466768543,30.4325035532906,388.551136767774,1.12701873403167E-08,6.9675967501158E-07
PRKG1,0.0891670954235503,7.1045463315825,3.14095661241193,387.666947203009,1.13719893175091E-08,6.99798527816345E-07
OLFM1,24.6406590984722,-0.00450165891510441,8.23322094725241,386.037216318586,1.15626620228647E-08,7.08253012018052E-07
PRDM8,-0.249480386214396,10.8468152115413,3.79575969600069,384.805736930131,1.17093988234742E-08,7.10994275781534E-07
TMEM150C,58.8205987418862,2.07416900308421,20.3194243823902,384.764142011648,1.17143956060906E-08,7.10994275781534E-07
FAM102B,247.55519554817,31.6297460961521,96.1068697157285,384.304948379935,1.17697360131046E-08,7.11106050391753E-07
AHRR,1.57252093617277,6.05175245622216,2.99555424211422,383.524544147582,1.18645398347852E-08,7.13590332506629E-07
GALNT13,0.0650880069356681,4.03649690707305,1.36719497133624,383.061256020974,1.19212722495283E-08,7.13772751084371E-07
LINC00992,6.47754151384943,-0.294630539117849,2.35560086402837,382.064460675634,1.20444907731668E-08,7.17916463484006E-07
ITPRIP,-51.4620144092701,-39.2802201722001,22.5442647947473,380.924543501668,1.2187360255177E-08,7.18972084975677E-07
BAMBI,111.948626116286,-1.52367373019373,43.576946760694,380.792273021668,1.22040750771134E-08,7.18972084975677E-07
ASS1P11,-3.62070834855799,-4.10972140091313,1.61636409917094,380.339907547982,1.2261456974297E-08,7.18972084975677E-07
SEPT6,-2.11556819893415,9.1326910232837,5.06898480326599,379.836402534464,1.23257232631261E-08,7.18972084975677E-07
ZFP3,9.48205622823224,1.97835987551275,3.83072293494835,379.782299649757,1.23326538801124E-08,7.18972084975677E-07
SPTSSB,976.321507844694,-13.6205638948227,335.919703408017,377.43378694974,1.2638255354883E-08,7.3357069946334E-07
COL13A1,-0.0371950237258788,79.0423453151249,26.4123359787182,375.199231779691,1.29378711697683E-08,7.47696450385047E-07
TUSC3,-82.2927197828659,-70.7245787658791,52.5792352873047,374.218934564778,1.3072114054259E-08,7.52184155884026E-07
TMEM200B,-0.018423982948298,6.84304932208796,2.33715025908633,373.63494963176,1.31529140296852E-08,7.53571264149031E-07
ICAM2,-0.251179840091012,3.76727856719085,1.43263975613187,369.666147977163,1.37189124365284E-08,7.80146714861925E-07
